K,Dataset,Distance,Voting,Retention,Fold,Accuracy,Time_per_instance_ms,Reduction,Storage_percent,Train_size,Test_size,Instance_base_final_size
5,pen-based,Euclidean,BordaCount,NR,0,0.9872495446265938,2.7559255207388347,TCNN,6.397816858702244,9894,1098,633
5,pen-based,Euclidean,BordaCount,NR,1,0.9836214740673339,2.6988265078321603,TCNN,6.418679874658849,9893,1099,635
5,pen-based,Euclidean,BordaCount,NR,2,0.9927073837739289,2.817689231448317,TCNN,6.579080343607883,9895,1097,651
5,pen-based,Euclidean,BordaCount,NR,3,0.9836363636363636,2.7091021971269087,TCNN,6.308127780024262,9892,1100,624
5,pen-based,Euclidean,BordaCount,NR,4,0.9890710382513661,2.74407776761359,TCNN,6.478673943804326,9894,1098,641
5,pen-based,Euclidean,BordaCount,NR,5,0.9872495446265938,2.6575526687399718,TCNN,6.407923994340004,9894,1098,634
5,pen-based,Euclidean,BordaCount,NR,6,0.9872958257713249,2.5907529893241645,TCNN,6.289180990899899,9890,1102,622
5,pen-based,Euclidean,BordaCount,NR,7,0.9890909090909091,2.7463665875521572,TCNN,6.550748079255964,9892,1100,648
