K,Dataset,Distance,Voting,Retention,Fold,Accuracy,Time_per_instance_ms,Reduction,Storage_percent,Train_size,Test_size,Instance_base_final_size
5,pen-based,Euclidean,BordaCount,NR,0,0.9872495446265938,2.7559255207388347,TCNN,6.397816858702244,9894,1098,633
5,pen-based,Euclidean,BordaCount,NR,1,0.9836214740673339,2.6988265078321603,TCNN,6.418679874658849,9893,1099,635
